"V1","V2","V3","V4"
"OD407","Tesobe","04351490","13 years 4 months"
"OD235","Sandbag Climate Campaign","06714443","6 years 7 months"
"OD123","Growth Intelligence","07770247","3 years 8 months"
"OD043","Bright Blue","07940506","3 years 3 months"
"OD300","Illustreets","08341632","2 years 4 months"
"OD640","Figshare","OC378473","2 years 8 months"
"OD091","DueDil","06999618","5 years 8 months"
"OD192","Open Rights Group","05581537","9 years 7 months"
"OD264","The Audience Agency Services","06994989","5 years 9 months"
"OD214","Porism","02192915","27 years 6 months"
"OD060","Cogent Analytics","06568048","7 years 1 month"
"OD288","Traveline","03826797","15 years 9 months"
"OD184","Oasis Loss Modelling Framework","07872678","3 years 5 months"
"OD118","Ghostery","07851914","3 years 6 months"
"OD059","ClearBooks","06636109","6 years 10 months"
"OD167","Mendeley","06419015","7 years 6 months"
"OD048","Cambridge Environmental Research Consultants","01926883","29 years 10 months"
"OD259","Talis Education","07196638","5 years 2 months"
"OD631","The Association of Convenience Stores","03987067","15 years 0 months"
"OD083","Dialogue by Design","03856988","15 years 7 months"
"OD151","Landmark Analytics","05156356","10 years 11 months"
"OD191","The Open Knowledge Foundation","05133759","10 years 0 months"
"OD155","The Local Government Association","03487186","17 years 5 months"
"OD727","Deeson","01073356","42 years 8 months"
"OD125","Harvey Walsh","04575510","12 years 6 months"
"OD704","7digital","03958483","15 years 1 month"
"OD733","Market Research Society","00518685","62 years 1 month"
"OD244","SKYSCAPE Cloud Services","07619797","4 years 0 months"
"OD082","Development Initiatives","06368740","7 years 8 months"
"OD234","SamKnows","06510477","7 years 3 months"
"OD164","MarkLogic","06080277","8 years 3 months"
"OD149","Kognitio","02127833","28 years 0 months"
"OD711","Last.fm","04569646","12 years 7 months"
"OD305","Zopa","05197592","10 years 9 months"
"OD042","BPE Solicitors","OC349012","5 years 7 months"
"OD100","EvoEnergy","06259559","7 years 11 months"
"OD170","MoneySavingExpert.com","08021764","3 years 1 month"
"OD036","BearingPoint","03144016","19 years 4 months"
"OD016","Aimia","05821446","8 years 0 months"
"OD736","NUS","08015198","3 years 1 month"
"OD289","Zubed Geospatial","02285049","26 years 9 months"
"OD046","BRE","03319324","18 years 3 months"
"OD099","eSynergy Solutions","04235243","13 years 11 months"
"OD487","Yahoo! UK","03244285","18 years 8 months"
"OD216","Precise","03247942","18 years 8 months"
"OD038","BioMed Central","03680030","16 years 5 months"
"OD278","ThoughtWorks","04091535","14 years 7 months"
"OD161","Manchester Evening News","03890740","15 years 5 months"
"OD098","Esri UK","01288342","38 years 5 months"
"OD183","NTT DATA","03085018","19 years 9 months"
"OD055","CGI","02843595","21 years 9 months"
"OD180","Nike","01887016","30 years 3 months"
"OD013","Adobe Systems","SC101089","28 years 7 months"
"OD295","Which?","00677665","54 years 5 months"
"OD153","Liberata","01238274","39 years 5 months"
"OD714","Spotify","06436047","7 years 5 months"
"OD157","Lockheed Martin","02372738","26 years 1 month"
"OD225","Rackspace","03897010","15 years 5 months"
"OD231","RM Education","01148594","41 years 5 months"
"OD124","The Guardian Media Group ","00094531","107 years 10 months"
"OD171","Moneysupermarket.com","03945937","19 years 3 months"
"OD737","Roche","00571546","58 years 8 months"
"OD706","Amazon","03223028","18 years 10 months"
"OD256","Syngenta","02710846","23 years 0 months"
"OD120","Google","03977902","15 years 1 month"
"OD734","MSD","00820771","50 years 8 months"
"OD032","ASOS","04006623","14 years 11 months"
"OD031","Arup","01312454","38 years 0 months"
"OD064","Costain","01393773","36 years 7 months"
"OD033","Atos","01245534","39 years 3 months"
"OD050","Capgemini","00943935","46 years 5 months"
"OD150","KPMG","OC301540","13 years 2 months"
"OD097","EY","OC300001","14 years 1 month"
"OD218","PwC","OC303525","12 years 5 months"
"OD080","Deloitte","OC303675","12 years 4 months"
"OD726","Capita","02081330","28 years 5 months"
"OD262","Telefonica","01743099","31 years 10 months"
"OD263","Tesco","00445790","67 years 6 months"
"OD023","Amey","02379479","26 years 0 months"
"OD635","Northern Powergrid","03271033","18 years 7 months"
"OD277","Thomson Reuters","03296375","18 years 5 months"
"OD111","Funding Circle","07239092","5 years 0 months"
"OD056","CH2M Hill","07262036","4 years 0 months"
"OD129","IBM","01503908","34 years 11 months"
"OD195","Openlink Group","02692297","23 years 2 months"
"OD730","Informed Solutions","02755304","22 years 7 months"
"OD030","Arium","02768550","22 years 5 months"
"OD250","Staveley Head","02802585","22 years 2 months"
"OD246","Software for Data Analysis","02888440","21 years 4 months"
"OD284","Tomorrow's Guides","02889550","21 years 4 months"
"OD273","TSO","03183931","19 years 1 month"
"OD073","DataIQ ","03264646","18 years 7 months"
"OD122","Griffin Brown","03298691","18 years 4 months"
"OD265","The Boffin Lab","03387654","17 years 11 months"
"OD063","CoreFilling","03412339","17 years 9 months"
"OD135","Integrated Transport Planning","03485430","17 years 5 months"
"OD173","Multizone","03504416","17 years 3 months"
"OD242","Sirius","03633198","16 years 8 months"
"OD039","bbits","03699262","16 years 4 months"
"OD634","Yorkshire Water","03778498","15 years 11 months"
"OD204","Paradex","03786457","15 years 11 months"
"OD304","Zizo","03793785","15 years 11 months"
"OD075","Datactics","03847379","15 years 8 months"
"OD590","Boilerhouse","03866041","15 years 6 months"
"OD148","Knowledge Integration","03878083","15 years 6 months"
"OD704","emapsite","03931726","15 years 2 months"
"OD065","Creotec","03936467","15 years 2 months"
"OD296","White October","03982889","15 years 0 months"
"OD101","eXparity","03995683","14 years 0 months"
"OD221","Public-i ","03998680","14 years 0 months"
"OD019","Alpine Interactive","04264634","13 years 9 months"
"OD699","Snowflake Software","04294244","13 years 7 months"
"OD002","1060 Research","04544799","12 years 7 months"
"OD233","Rockshore","04563967","12 years 7 months"
"OD286","Transactis","04697004","12 years 2 months"
"OD257","Systems in Context","04701221","12 years 2 months"
"OD275","theblueballroom","04723983","12 years 1 month"
"OD201","OCSI","04800880","11 years 11 months"
"OD136","Interkonect Services","04810995","11 years 10 months"
"OD107","Flexeye","04852559","11 years 9 months"
"OD249","Spikes Cavell","04917291","11 years 7 months"
"OD186","One Bright Space","05027696","11 years 3 months"
"OD025","Apogee Data Consulting","05113615","11 years 0 months"
"OD628","i-genius","05118974","11 years 0 months"
"OD238","Seme4","05146461","10 years 11 months"
"OD086","DigIn","05150664","10 years 11 months"
"OD079","Delib","05158056","10 years 11 months"
"OD527","FairSay","05244802","10 years 7 months"
"OD630","Model Futures","05248454","10 years 7 months"
"OD207","Patient Opinion","05328982","10 years 4 months"
"OD287","Transparency Data ","05331312","10 years 4 months"
"OD169","Mobile Pie","05557026","9 years 8 months"
"OD003","21c Consultancy","05584173","9 years 7 months"
"OD222","OpenCharities","05647737","9 years 5 months"
"OD505","Visceral Business","05656761","9 years 5 months"
"OD015","AIMES Grid Services","05658020","9 years 5 months"
"OD159","Lokku","05712175","9 years 3 months"
"OD077","DataSalon","05724296","9 years 2 months"
"OD179","Niche Solutions","05725574","9 years 2 months"
"OD130","IMAGES&Co","05725823","9 years 2 months"
"OD140","ITO World","05753174","9 years 2 months"
"OD292","Ventutec","05777893","9 years 1 month"
"OD267","The Democratic Society","05785839","9 years 1 month"
"OD176","mySociety","05798215","9 years 0 months"
"OD112","FutureEverything","05822339","8 years 0 months"
"OD240","Shoothill","05885234","8 years 9 months"
"OD197","OpenStreetMap Foundation","05912761","8 years 9 months"
"OD702","Skuwizz","05916375","8 years 8 months"
"OD045","Broadsight","05976886","8 years 6 months"
"OD109","Footweb","06077952","8 years 3 months"
"OD261","Taxfix.co.uk","06151011","8 years 2 months"
"OD272","The Server Labs","06263821","7 years 11 months"
"OD723","Songkick","06265278","7 years 11 months"
"OD103","F!ND","06298825","7 years 10 months"
"OD168","MIME Consulting","06306298","7 years 10 months"
"OD132","Infonomics","06357985","7 years 8 months"
"OD034","Above Mobile","06428260","7 years 6 months"
"OD303","Zaizi","06440931","7 years 5 months"
"OD081","Demand Logic","06458599","7 years 5 months"
"OD213","Transport API","06528765","7 years 2 months"
"OD070","Cyscom","06542015","7 years 1 month"
"OD614","Meducation","06567759","7 years 1 month"
"OD297","Whythawk","06583455","7 years 0 months"
"OD022","AMEE","06630234","6 years 10 months"
"OD212","Pitchup.com","06636463","6 years 10 months"
"OD713","Radio Tuna","06666607","6 years 9 months"
"OD106","Flatmate Rooms","06690044","6 years 8 months"
"OD062","CDG","06745704","6 years 6 months"
"OD269","Mudlark","06759291","6 years 5 months"
"OD301","Yelp","06762006","6 years 5 months"
"OD115","Geo.me Solutions","06762703","6 years 5 months"
"OD227","Raster Solutions","06794483","6 years 4 months"
"OD066","CtrlShift","06800865","6 years 3 months"
"OD208","Compare Care Homes","06915357","5 years 11 months"
"OD029","Arcus Global","06946606","5 years 10 months"
"OD068","CycleStreets","06948959","5 years 10 months"
"OD205","Parkopedia","06951952","5 years 10 months"
"OD729","iGeolise","06975940","5 years 9 months"
"OD237","ScraperWiki","06979284","5 years 9 months"
"OD499","MadLab","06983014","5 years 9 months"
"OD092","Elbatrop","07000533","5 years 8 months"
"OD096","Epimorphics","07016688","5 years 8 months"
"OD001","100%Open","07024145","5 years 8 months"
"OD285","Total Car Check","07043189","5 years 7 months"
"OD229","RateSetter ","07075792","5 years 6 months"
"OD163","Mapumental","07088037","5 years 5 months"
"OD224","Qubit Digital","07116058","5 years 4 months"
"OD258","Tableu Software","07118347","5 years 4 months"
"OD121","Thunderforest","07126880","5 years 4 months"
"OD283","Timetric","07133675","5 years 3 months"
"OD563","Rewired State","07149780","5 years 3 months"
"OD158","Locrating","07236786","5 years 0 months"
"OD108","FlyingBinary","07256099","4 years 0 months"
"OD035","Ayoupa","07296537","4 years 10 months"
"OD012","Adzuna","07301894","4 years 10 months"
"OD049","Campsall Owen","07343209","4 years 9 months"
"OD260","TaxCalculator.co.uk","07345627","4 years 9 months"
"OD057","OpenCorporates","07444723","4 years 6 months"
"OD126","HealthIQ","07505343","4 years 3 months"
"OD051","CarbonCulture","07524391","4 years 3 months"
"OD209","Pesky People","07541059","4 years 2 months"
"OD279","Thumbprint Cooperative","07587834","4 years 1 month"
"OD232","Elgin","07589848","4 years 1 month"
"OD739","Red Ninja Studios","07629373","3 years 0 months"
"OD220","Project00 ","07688919","3 years 10 months"
"OD014","AIDA Technology","07692995","3 years 10 months"
"OD299","Xively","07702365","3 years 10 months"
"OD241","Sibdocity","07750091","3 years 8 months"
"OD104","Findaschool","07756654","3 years 8 months"
"OD058","City Farmers","07838003","3 years 6 months"
"OD189","Open Health Care UK","07847799","3 years 6 months"
"OD738","Universities UK","07855508","3 years 5 months"
"OD571","Social Life","07899385","3 years 4 months"
"OD254","FoodTrade","07906283","3 years 4 months"
"OD006","3Tier (Europe)","07941015","3 years 3 months"
"OD280","Thwaites Communications","07951518","3 years 3 months"
"OD165","Mastodon C","08052156","3 years 0 months"
"OD131","import.io","08114613","2 years 10 months"
"OD728","Health Fabric","08160507","2 years 9 months"
"OD094","Engaged Investment","08163131","2 years 9 months"
"OD141","Javelin","08213115","2 years 8 months"
"OD071","Cytora","08229538","2 years 7 months"
"OD196","OpenSignal","08239058","2 years 7 months"
"OD102","OpenWeatherMap","08247457","2 years 7 months"
"OD078","DataUnity","08302817","2 years 5 months"
"OD271","The Point People","08317411","2 years 5 months"
"OD187","OnepointIQ","08331415","2 years 5 months"
"OD194","Open Utility","08384033","2 years 3 months"
"OD088","DSRPTN","08386400","2 years 3 months"
"OD090","Doorda","08397038","2 years 3 months"
"OD076","DataPress","08401945","2 years 3 months"
"OD567","Folk Labs","08405964","2 years 3 months"
"OD084","Digi2al","08407866","2 years 3 months"
"OD217","PretaGov","08408608","2 years 2 months"
"OD294","Where's This From?","08466187","2 years 1 month"
"OD566","Common Futures","08481503","2 years 1 month"
"OD156","Locatable","08616210","1 year 10 months"
"OD219","Project Provenance","08622563","1 year 9 months"
"OD553","DrDoctor","08630298","1 year 9 months"
"OD724","Applied Works","08635057","1 year 9 months"
"OD085","Digital Contraptions Imaginarium","08637230","1 year 9 months"
"OD735","Nimble Learn","08637310","1 year 9 months"
"OD701","Geoger Ltd","08641682","1 year 9 months"
"OD637","Kudos Innovations","08642156","1 year 9 months"
"OD017","Aistemos","08644182","1 year 9 months"
"OD200","Oxford Analytics","08647112","1 year 9 months"
"OD020","Amazon Web Services","08650665","1 year 9 months"
"OD037","Berg","08655161","1 year 9 months"
"OD166","McKinsey & Company","08767711","1 year 6 months"
"OD193","Opensensors IO","08773413","1 year 6 months"
"OD700","KnowNow (kn-i)","08781104","1 year 6 months"
"OD626","Bibblio","08812630","1 year 5 months"
"OD145","Kiln","08825531","1 year 4 months"
"OD625","The Better With Data Society","08865619","1 year 3 months"
"OD725","ASI","08873131","1 year 3 months"
"OD251","Stolen Bikes UK","08934268","1 year 2 months"
"OD248","Spend Network","08989691","1 year 1 month"
"OD005","3D Repo","09014101","1 year 0 months"
"OD636","Hebe Works","09107370","0 years 10 months"
"OD026","App and Mobile","09122131","0 years 10 months"
"OD495","Resurgence","09147957","0 years 9 months"
"OD643","Open Addresses","09172118","0 years 9 months"
"OD419","Endole","09346879","0 years 5 months"
"OD074","Data Unlocked","IP032171","1 year 9 months"
"OD011","Actuated Futures","OC381725","2 years 4 months"
"OD116","GeoLytix","OC382974","2 years 2 months"
"OD117","Geowise","SC177156","17 years 10 months"
"OD175","Mydex ","SC319767","8 years 1 month"
"OD255","Swirrl","SC337356","7 years 3 months"
"OD515","Rudman Consulting","SC354544","6 years 3 months"
