"lon","lat"
-0.1169377,51.5107324
-2.3910276,51.5377069
-0.2115041,51.5166188
-0.107265,51.5250547
-0.1320216,51.524939
-1.9250644,52.4481411
-1.5516239,53.7813385
-0.7199832,51.5236826
-1.8960894,52.4812744
-1.785952,51.5668382
-2.2353251,53.4774591
-2.9334988,53.4072652
-0.1219669,51.5100397
-0.1233103,51.5141707
-0.7166997,51.5225497
-0.1309114,51.5010012
-0.121509,51.5337816
-0.0864188,51.5298872
-1.2229017,51.7152123
0.7161359,51.0608199
-0.968047,51.4556758
0.1385926,52.2283248
-0.0838536,51.5171568
-0.1383453,51.5215234
-0.146932,51.5306872
-0.1408237,51.5254385
-2.2384236,53.4630893
-0.1437991,51.5185614
-0.1422533,51.51369
-1.785952,51.5668382
-0.1206209,51.516133
-0.0870195,51.5231256
-0.1350142,51.4989712
-0.0884676,51.549812
-0.114816,51.5237285
-0.4370564,51.5088435
-1.8872804,52.4769511
-0.0836487,51.5254715
-2.0807477,51.9007637
-0.3727485,51.7001757
-0.1961657,51.5119507
0.117813,52.204374
-0.563266,51.3191747
-0.0836629,51.5223873
-0.1189751,51.5172487
-1.8191792,50.74587
-0.6288227,51.3931214
-0.1024785,51.5129273
-0.1219789,51.5342747
-0.2161392,51.4942623
-0.2137871,51.4939927
-0.0778177,51.5163926
0.9624407,51.8574045
-2.0491613,52.5825175
-1.2729657,51.7461569
-0.7464548,51.5113617
-0.768359,51.4177624
-0.5893369,51.2603217
-0.1169377,51.5107324
-0.1611227,51.4903281
0.1138547,52.1740073
-5.8973189,54.6119114
-0.761224,51.6324677
-1.2484531,51.7167451
-2.5948785,51.4519425
-0.7678175,52.0364684
-0.0954604,51.5367517
-2.5862897,51.4532806
-0.1160665,51.5248636
-1.8960894,52.4812744
-0.0705568,52.218188
0.1396361,52.1492551
-0.1316523,51.5005004
-0.1036572,51.5265341
-0.0819007,51.5283026
-2.362494,51.3833595
-0.1080988,51.5202391
-0.1243449,51.5275772
-0.1187143,51.5347709
-2.7679012,51.4800337
-1.785952,51.5668382
-1.785952,51.5668382
-0.8087782,51.8141668
-0.0808679,51.5117214
-1.2383264,52.9046827
0.1491623,51.049754
-0.0813372,51.5053533
-0.0941973,51.5010488
-0.1050789,51.5322224
-0.121509,51.5337816
-0.5769831,51.2343099
0.0442822,51.6033643
-0.7546514,51.2424498
-0.105613,51.5131039
-2.2384236,53.4630893
-0.0955842,51.5206571
-0.0855003,51.5225702
-0.1259629,51.49273
-0.1153143,51.5273695
-3.1762554,55.9505115
-0.1263722,51.5083925
0.1513795,52.2314888
-0.0194504,51.504954
-0.092016,51.514637
-0.7744146,51.5697536
-0.0683805,51.5169929
-1.5374265,53.7944791
-0.106894,51.5242663
-0.0946583,51.5659643
-1.0696872,50.844738
-3.5488821,55.8726058
-0.1908443,51.5607695
-0.0880061,51.4992073
-0.0855003,51.5225702
-0.7536253,52.0472074
-1.1498184,52.9638359
1.1559132,52.0542047
-0.1016645,51.5030403
-0.0200588,51.5030334
-0.1008846,51.5204103
11.3946329,49.8844549
-0.0639578,51.5468472
-0.0827485,51.5263111
-1.4701131,53.3850765
-1.0901955,50.8015465
-0.7743841,51.415092
-0.0160782,51.5052927
-0.1110528,51.5982515
-0.1187805,51.5174254
-0.1382095,50.8262381
-4.4402439,55.8863499
-3.0279007,53.7747475
-0.1024481,51.5226748
-2.2363568,53.4841714
-2.2026935,53.4845928
-2.1498077,53.5212178
-1.9030077,52.4822961
-0.0923761,51.5118822
-0.0836629,51.5223873
-0.1337116,51.5096966
0.9042683,51.7757273
-0.1097618,51.5221993
-0.1403706,51.4636436
-2.5963423,51.4571502
-0.1337255,51.5174663
-3.0523901,53.1890896
-0.0834383,51.5236156
-1.785952,51.5668382
-1.4661893,53.3766366
-0.491686,51.6831586
-4.2634054,55.8659579
-0.1054214,51.6225392
-1.7845378,51.5668895
-0.1089078,51.5167181
-1.18435,51.7613732
-1.2195944,51.7139406
-1.5000744,54.8708054
-0.0875781,51.5135756
-0.1161452,51.5205125
-0.1384492,50.8312783
-4.0852557,52.4126893
-0.2791243,51.5622502
-0.0836629,51.5223873
-0.0946442,51.5013887
-0.0836629,51.5223873
-0.0836629,51.5223873
-0.0933493,51.5172216
-0.1097618,51.5221993
-0.0985374,51.5196619
-0.1104475,51.5035419
-0.9395391,51.4598454
-1.3066758,51.8177685
-0.7674855,51.5298381
-0.1405438,51.5216932
-1.4711315,53.3902495
-0.2185615,51.4653793
-1.8952299,50.7286701
-0.1155475,51.4637329
-0.0836758,51.5189884
-0.0783397,51.5170036
-0.1317818,51.5079033
-0.1317818,51.5079033
-0.1807822,51.5197074
-0.1578819,50.825714
-0.1355586,51.5138715
-0.4276658,51.5015871
-0.0976483,51.5046748
-0.0825126,51.5257497
-4.5082738,54.1553937
-0.0836629,51.5223873
-1.9045191,52.4846976
-1.0587259,53.9686828
-0.2149756,51.465037
-0.0909223,51.5225237
-0.1467321,51.5141295
-0.0825749,51.5016147
-0.0533089,51.5287129
-2.9698078,53.4054599
-0.0848193,51.5219656
-2.7419951,52.7445007
-0.0505755,51.5211497
-0.4764789,51.3679678
-0.7924236,51.2793361
-1.404486,50.9135965
-7.23725,55.0323884
-0.1003675,51.4902229
0.0328825,51.5524572
-0.0836629,51.5223873
-1.3242794,51.4038243
-3.0714425,53.2244904
-1.785952,51.5668382
-0.1939015,51.4667915
-2.2346255,53.4817479
-0.6161247,51.2387988
-0.7830173,53.1049314
-0.0998714,51.5063116
-1.9127332,52.4861693
-2.2320394,53.4800272
-0.6316656,51.5198354
-0.0267922,51.7052961
-0.084907,51.4999442
-0.5813841,51.768313
-0.1270141,51.5299848
-0.1265003,51.5189698
-0.176892,51.4965633
-0.1394387,50.8213922
-0.1024481,51.5226748
-0.1216933,51.5349086
-0.1342703,51.5051912
-0.1267826,51.4955757
0.1537001,52.235259
-0.0876506,51.5049619
-0.1416227,51.5245789
-0.1340388,51.4942796
-0.8215197,51.2062556
-0.0818819,51.5242916
-0.1253072,51.5157314
-0.2452101,51.389147
-0.0561804,51.5360984
-0.1071319,51.5119798
-1.510139,51.4140724
-0.3055271,51.4608503
-0.9961002,51.7718662
-0.1321829,51.5280439
-0.1205236,51.5135956
1.2934649,52.634899
-0.052792,51.5208897
-0.1315893,51.5196535
-0.1063668,51.5136916
-2.219262,52.1934839
-1.5137244,52.4021257
-1.2399456,51.7476025
-1.2779367,51.7532546
-0.081117,51.5225975
-2.9712103,53.4039171
-1.7562367,53.7818837
-0.2236763,51.4938191
-0.7154845,52.001698
-0.1093383,51.5171117
-0.7014765,52.003001
